Date,Open,High,Low,Close
2017-08-14,39.830002,40.052502,39.6875,39.962502
2017-08-15,40.165001,40.549999,40.035,40.400002
2017-08-16,40.485001,40.627499,40.037498,40.237499
2017-08-17,40.130001,40.177502,39.459999,39.465
2017-08-18,39.465,39.875,39.18,39.375
2017-08-21,39.375,39.4725,38.7775,39.302502
2017-08-22,39.557499,40,39.505001,39.945
2017-08-23,39.767502,40.1175,39.720001,39.994999
2017-08-24,40.107498,40.185001,39.637501,39.817501
2017-08-25,39.912498,40.139999,39.817501,39.965
2017-08-28,40.035,40.5,39.982498,40.3675
2017-08-29,40.025002,40.779999,40,40.727501
2017-08-30,40.950001,40.9725,40.6525,40.837502
2017-08-31,40.91,41.130001,40.869999,41
2017-09-01,41.200001,41.235001,40.907501,41.012501
2017-09-05,40.9375,41.0625,40.139999,40.52
2017-09-06,40.677502,40.747501,40.130001,40.477501
2017-09-07,40.522499,40.560001,40.09,40.314999
2017-09-08,40.215,40.287498,39.6325,39.657501
2017-09-11,40.125,40.512501,39.9725,40.375
2017-09-12,40.6525,40.990002,39.692501,40.215
2017-09-13,39.967499,39.990002,39.477501,39.912498
2017-09-14,39.747501,39.849998,39.522499,39.57
2017-09-15,39.6175,40.2425,39.5,39.970001
2017-09-18,40.0275,40.125,39.5,39.6675
2017-09-19,39.877499,39.942501,39.610001,39.682499
2017-09-20,39.474998,39.564999,38.4575,39.017502
2017-09-21,38.950001,38.950001,38.1875,38.3475
2017-09-22,37.884998,38.067501,37.639999,37.9725
2017-09-25,37.497501,37.9575,37.290001,37.637501
2017-09-26,37.945,38.48,37.922501,38.285
2017-09-27,38.450001,38.68,38.384998,38.557499
2017-09-28,38.4725,38.57,38.174999,38.32
2017-09-29,38.302502,38.532501,38,38.529999
2017-10-02,38.564999,38.612499,38.18,38.452499
2017-10-03,38.502499,38.772499,38.477501,38.619999
2017-10-04,38.407501,38.465,38.115002,38.369999
2017-10-05,38.544998,38.860001,38.512501,38.8475
2017-10-06,38.7425,38.872501,38.639999,38.825001
2017-10-09,38.952499,39.182499,38.872501,38.959999
2017-10-10,39.014999,39.5,38.775002,38.974998
2017-10-11,38.9925,39.244999,38.9375,39.137501
2017-10-12,39.087502,39.342499,38.932499,39
2017-10-13,39.182499,39.32,39.102501,39.247501
2017-10-16,39.474998,40,39.412498,39.970001
2017-10-17,39.945,40.217499,39.807499,40.1175
2017-10-18,40.105,40.177502,39.900002,39.939999
2017-10-19,39.1875,39.27,38.755001,38.994999
2017-10-20,39.1525,39.4375,38.990002,39.0625
2017-10-23,39.2225,39.422501,38.875,39.0425
2017-10-24,39.072498,39.355,39.049999,39.275002
2017-10-25,39.227501,39.387501,38.817501,39.102501
2017-10-26,39.307499,39.4575,39.195,39.352501
2017-10-27,39.822498,40.900002,39.674999,40.762501
2017-10-30,40.9725,42.017502,40.93,41.68
2017-10-31,41.974998,42.412498,41.735001,42.259998
2017-11-01,42.467499,42.485001,41.4025,41.7225
2017-11-02,41.650002,42.125,41.32,42.0275
2017-11-03,43.5,43.564999,42.779999,43.125
2017-11-06,43.092499,43.747501,42.93,43.5625
2017-11-07,43.477501,43.8125,43.400002,43.702499
2017-11-08,43.665001,44.060001,43.5825,44.060001
